id,query,timestamp,factual_score,total_sources,citation_accuracy,claim_details,contradicting_claims,verified_claims,unverified_claims,source_credibility_score,fact_check_coverage
1,Sclerocarya birrea,2025-02-03T20:54:30.618891,0.0,0,0.0,[],0,0,0,0.0,0.0
2,Sclerocarya birrea,2025-02-03T21:49:14.017269,0.0,0,0.0,[],0,0,0,0.0,0.0
3,sea weed,2025-02-03T22:02:35.684701,0.0,0,0.0,[],0,0,0,0.0,0.0
4,sea weed,2025-02-04T08:03:01.399787,0.0,0,0.0,[],0,0,0,0.0,0.0
5,Sclerocarya birrea,2025-02-04T16:51:52.840917,0.0,0,0.0,[],0,0,0,0.0,0.0
6,sea weed,2025-02-04T16:57:15.320093,0.0,0,0.0,[],0,0,0,0.0,0.0
7,sea weed,2025-02-04T17:02:39.750560,0.0,0,0.0,[],0,0,0,0.0,0.0
8,Sclerocarya birrea,2025-02-04T18:19:01.525661,0.0,0,0.0,[],0,0,0,0.0,0.0
9,Sclerocarya birrea,2025-02-05T10:51:00.209260,0.10965982275276306,7,0.0,"[{""claim"": ""Here is a comprehensive summary of the search results grouped by themes related to Sclerocarya birrea:"", ""score"": 0.03930104697682116, ""best_source"": ""https://www.frontiersin.org/journals/chemistry/articles/10.3389/fchem.2021.670530/full""}, {""claim"": ""\""Preliminary nutritional analysis of marula (Sclerocarya birrea) fruits from two Kenyan provenances\"" (May 22, 2024)"", ""score"": 0.08304925535402122, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""[https://www.cifor-icraf.org/knowledge/publication/26059/]\nThis study analyzes the nutritional content of marula fruits from two Kenyan regions.\n\n*"", ""score"": 0.16679891931174212, ""best_source"": ""https://www.cifor-icraf.org/knowledge/publication/27070/""}, {""claim"": ""\""The future of African wild fruits \u2013 a drive towards responsible production and consumption of the marula fruit\"" (Jun 25, 2024)"", ""score"": 0.24533587685640235, ""best_source"": ""https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.1294437/full""}, {""claim"": ""[https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.1294437/full]\nThis article explores the potential of African wild fruits, including marula, for sustainable development."", ""score"": 0.12842955394889033, ""best_source"": ""https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.1294437/full""}, {""claim"": ""\""Determination of Phenolics and Flavoids of Some Useful Medicinal Plants and Bioassay-Guided Fractionation Substances of Sclerocarya birrea (A. Rich) Hochst Stem (Bark) Extract and Their Efficacy Against Salmonella typhi\"" (Jun 26, 2024)"", ""score"": 0.021978836332802718, ""best_source"": ""https://www.goodhousekeeping.com/uk/beauty/skincare/a33793243/marula-oil/""}, {""claim"": ""[https://www.frontiersin.org/journals/chemistry/articles/10.3389/fchem.2021.670530/full]\nThis study examines the medicinal properties of Sclerocarya birrea bark extract and its efficacy against Salmonella typhi."", ""score"": 0.017217299425470456, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""\""Safety and efficacy of Sclerocarya birrea (A.Rich.)"", ""score"": 0.03495359041561809, ""best_source"": ""https://www.goodhousekeeping.com/uk/beauty/skincare/a33793243/marula-oil/""}, {""claim"": ""Hochst (Marula) oil: A clinical perspective\"" (Dec 24, 2015)"", ""score"": 0.2938035767305167, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""[https://www.sciencedirect.com/science/article/pii/S0378874115301963]\nThis article reviews the safety and efficacy of Marula oil in clinical settings."", ""score"": 0.19135896151523354, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""* \""Marula oil: Benefits, side effects, and how to use it\"" (Apr 11, 2022)"", ""score"": 0.36100405015734005, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""[https://www.medicalnewstoday.com/articles/marula-oil]\nThis article provides an overview of the benefits and side effects of Marula oil for health and beauty."", ""score"": 0.4087679805207699, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""\""Severe simulated herbivory constrains Sclerocarya birrea saplings regardless of resource availability\"" (Dec 2, 2020)"", ""score"": 0.0337914049066477, ""best_source"": ""https://www.frontiersin.org/journals/chemistry/articles/10.3389/fchem.2021.670530/full""}, {""claim"": ""[https://onlinelibrary.wiley.com/doi/abs/10.1111/aec.12983]\nThis study investigates the impact of herbivory on Sclerocarya birrea saplings.\n\n*"", ""score"": 0.021518906078369475, ""best_source"": ""https://www.cifor-icraf.org/knowledge/publication/26059/""}, {""claim"": ""\""Ecology and biology of Uapaca kirkiana, Strychnos cocculoides and Sclerocarya birrea in Southern Africa\"" (Aug 31, 2024)"", ""score"": 0.01231420841640873, ""best_source"": ""https://www.cifor-icraf.org/knowledge/publication/27070/""}, {""claim"": ""[https://www.cifor-icraf.org/knowledge/publication/27070/]\nThis study examines the ecology and biology of Sclerocarya birrea and other tree species in Southern Africa."", ""score"": 0.1839368432165991, ""best_source"": ""https://www.cifor-icraf.org/knowledge/publication/27070/""}, {""claim"": ""\""Mangarri Man: the mighty marula tree could flourish in Australia's top end\"" (Aug 8, 2024)"", ""score"": 0.08956047946001872, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""[https://nit.com.au/08-08-2024/12979/mangarri-man-the-mighty-marula-tree-could-flourish-in-australias-top-end]\nThis article explores the potential for cultivating Marula trees in Australia."", ""score"": 0.1133448526711793, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""\""Meet the wonder oil for your skin and hair\"" (3 weeks ago)"", ""score"": 0.2481682637162118, ""best_source"": ""https://www.goodhousekeeping.com/uk/beauty/skincare/a33793243/marula-oil/""}, {""claim"": ""[https://www.goodhousekeeping.com/uk/beauty/skincare/a33793243/marula-oil/]\nThis article highlights the benefits of Marula oil for skin and hair care."", ""score"": 0.42764831506536527, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""Note: One search result, \""High yielders take a greater share in record January for CEEMEA bond issuance\"" (18 hours ago), is unrelated to Sclerocarya birrea and has been excluded from the summary."", ""score"": 0.16751246150646376, ""best_source"": ""https://www.globalcapital.com/article/2edj62kwogsh1wcqviebk/primary-market-monitor/high-yielders-take-a-greater-share-in-record-january-for-ceemea""}]",21,0,21,0.15665688964680438,0.0
10,Sclerocarya birrea,2025-02-05T10:53:38.936081,0.0906717813301213,7,0.0,"[{""claim"": ""Here is a comprehensive summary of the search results grouped by themes:\n\n**Nutrition and Food**\n\n*"", ""score"": 0.04183711217318288, ""best_source"": ""https://www.frontiersin.org/journals/chemistry/articles/10.3389/fchem.2021.670530/full""}, {""claim"": ""\""Preliminary nutritional analysis of marula (Sclerocarya birrea) fruits from two Kenyan provenances\"" (May 22, 2024)"", ""score"": 0.08304925535402122, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""\""The future of African wild fruits \u2013 a drive towards responsible production and consumption of the marula fruit\"" (Jun 25, 2024)"", ""score"": 0.24533587685640235, ""best_source"": ""https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.1294437/full""}, {""claim"": ""\""Meet the wonder oil for your skin and hair\"" (3 weeks ago)"", ""score"": 0.2481682637162118, ""best_source"": ""https://www.goodhousekeeping.com/uk/beauty/skincare/a33793243/marula-oil/""}, {""claim"": ""\""Marula oil: Benefits, side effects, and how to use it\"" (Apr 11, 2022)"", ""score"": 0.36100405015734005, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""\""Determination of Phenolics and Flavonoids of Some Useful Medicinal Plants and Bioassay-Guided Fractionation Substances of Sclerocarya birrea (A. Rich) Hochst Stem (Bark) Extract and Their Efficacy Against Salmonella typhi\"" (Jun 26, 2024)"", ""score"": 0.021978836332802718, ""best_source"": ""https://www.goodhousekeeping.com/uk/beauty/skincare/a33793243/marula-oil/""}, {""claim"": ""\""Safety and efficacy of Sclerocarya birrea (A.Rich.)"", ""score"": 0.03495359041561809, ""best_source"": ""https://www.goodhousekeeping.com/uk/beauty/skincare/a33793243/marula-oil/""}, {""claim"": ""Hochst (Marula) oil: A clinical perspective\"" (Dec 24, 2015)"", ""score"": 0.2938035767305167, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""\""Ecology and biology of Uapaca kirkiana, Strychnos cocculoides and Sclerocarya birrea in Southern Africa\"" (Aug 31, 2024)"", ""score"": 0.03843043009017283, ""best_source"": ""https://www.givaudan.com/fragrance-beauty/active-beauty/products/marula-oil""}, {""claim"": ""\""Severe simulated herbivory constrains Sclerocarya birrea saplings regardless of resource availability\"" (Dec 2, 2020)"", ""score"": 0.0337914049066477, ""best_source"": ""https://www.frontiersin.org/journals/chemistry/articles/10.3389/fchem.2021.670530/full""}, {""claim"": ""\""Mangarri Man: the mighty marula tree could flourish in Australia's top end\"" (Aug 8, 2024)"", ""score"": 0.08956047946001872, ""best_source"": ""https://www.medicalnewstoday.com/articles/marula-oil""}, {""claim"": ""[https://nit.com.au/08-08-2024/12979/mangarri-man-the-mighty-marula-tree-could-flourish-in-australias-top-end]\n\nNote: The dates are based on the provided search results and may not reflect the original publication dates."", ""score"": 0.062460518037715504, ""best_source"": ""https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.1294437/full""}]",12,0,12,0.12953111618588756,0.0
